case,param,true,post_mean,post_sd,q05,q50,q95,in_90ci
31,r,5.119512557983398,5.396826198577881,1.0226072198399365,3.830596160888672,5.326969146728516,6.997329688072204,True
31,muT,233.67486572265625,231.80402474975585,11.897904806446256,212.43750457763673,231.31641387939453,250.7013252258301,True
32,nu,0.4325025677680969,0.5110172152221203,0.2666830130886406,0.0822844684123993,0.5176151692867279,0.939682638645172,True
32,r,7.580021381378174,9.570032051086425,1.214513834731517,7.536078000068665,9.580145359039307,11.513638305664063,True
32,muT,173.500244140625,164.49825495910645,13.336938185148181,143.3577407836914,164.46219635009766,187.12814178466795,True
33,nu,0.2771916389465332,0.46406021794676783,0.2976507215006519,-0.01928610503673553,0.4637027233839035,0.9508055955171585,True
33,r,5.1112494468688965,4.94528851890564,0.8391133553585554,3.6396939516067506,4.920668363571167,6.353551340103149,True
33,muT,230.77133178710938,228.348396484375,11.72829160121839,209.12878494262696,228.28485107421875,247.63105316162108,True
34,nu,0.318907231092453,0.5268106009364129,0.266901617327504,0.06303478628396988,0.5209603309631348,0.9707991689443584,True
34,r,9.165644645690918,8.89245727443695,1.3007397036693362,6.843048906326294,8.927125453948975,10.92707066535949,True
34,muT,219.0235595703125,220.82104040527344,15.687685663086823,194.83436279296876,220.70013427734375,245.50344772338866,True
35,nu,0.3342946767807007,0.47171889275312423,0.29136151891091727,0.0017895802855492006,0.46958592534065247,0.940430274605751,True
35,r,7.346940040588379,7.1277272348403935,1.0885643021627747,5.445797419548034,7.119210958480835,8.945357179641723,True
35,muT,183.47999572753906,173.71319647216797,12.154444138369291,154.08661117553712,173.93038940429688,192.98121719360353,True
36,nu,0.11763341724872589,0.46790515625476836,0.280116110328777,-0.023882782459259032,0.4723883122205734,0.9136568129062651,True
36,r,2.332183361053467,1.6860630311965943,0.4852144256481688,0.8891078710556031,1.6778743267059326,2.49662184715271,True
36,muT,125.68550872802734,134.402825592041,13.47852350401116,112.31132354736329,134.52249908447266,157.2378921508789,True
37,nu,0.7442216873168945,0.5863862436413765,0.2397271312834317,0.17841501533985138,0.5820185244083405,0.9708196192979811,True
37,r,5.715856552124023,8.60240156364441,2.017575967497949,5.523109221458435,8.535951137542725,12.204419612884518,True
37,muT,351.6818542480469,367.32853900146483,15.949407099613513,340.3129364013672,366.8997497558594,394.07391357421875,True
38,nu,0.5237115025520325,0.5442960190773011,0.24921327226887593,0.13409798741340637,0.5450631678104401,0.9513818234205245,True
38,r,9.743599891662598,10.431839161872864,1.2085048235460478,8.39747371673584,10.496150493621826,12.248727083206175,True
38,muT,213.95907592773438,198.67717626953126,14.289179953318287,175.15079040527343,198.7385025024414,221.9422424316406,True
39,nu,0.16315330564975739,0.4298676579594612,0.27823829798809885,-0.012711882591247557,0.429152175784111,0.9021311342716214,True
39,r,0.47858089208602905,0.10227905654907227,0.3277270220782905,-0.45613086223602295,0.11224150657653809,0.6167477846145613,True
39,muT,221.677490234375,225.39027279663085,22.894395362423005,189.42359161376953,225.07878875732422,264.1280517578125,True
40,nu,0.321316659450531,0.48391294354200365,0.3107704712176981,-0.047661134600639345,0.494590163230896,0.977604907751083,True
40,r,4.818628311157227,4.428036775112152,0.7123596801250047,3.2940078139305116,4.430115699768066,5.597420048713684,True
40,muT,165.64598083496094,163.24904986572267,10.649272244511874,145.85661544799805,163.04818725585938,181.24767303466794,True
41,nu,0.8322458863258362,0.5096744684576988,0.2726874179587991,0.07945411205291748,0.504389077425003,0.9843204736709588,True
41,r,7.343146324157715,7.834237414360047,1.144378369787374,5.925210165977478,7.86414098739624,9.73096876144409,True
41,muT,117.2928466796875,108.71578701782227,12.238863426663332,87.9218978881836,109.3184585571289,128.42667236328126,True
42,nu,0.9282296299934387,0.4553770885467529,0.29445400166110547,-0.023318803310394275,0.45939262211322784,0.9038016140460965,False
42,r,0.37615278363227844,0.3384662084579468,0.35518393463692854,-0.22182650566101067,0.344074010848999,0.9277613878250122,True
42,muT,224.13787841796875,211.74253067016602,20.930579076287533,178.0203628540039,211.201416015625,245.5524719238281,True
43,nu,0.13050293922424316,0.4252665575146675,0.2943732398022269,-0.0671613037586212,0.4370218366384506,0.8979409426450728,True
43,r,3.8566713333129883,3.234192012786865,0.867570233599927,1.8045989513397218,3.2480393648147583,4.588939094543455,True
43,muT,333.715087890625,343.16575219726565,13.2488530372152,321.29221801757814,343.4001770019531,364.3788116455078,True
44,nu,0.8698987364768982,0.47099145865440367,0.2986052641317726,-0.050108250975608816,0.47585077583789825,0.9498306155204772,True
44,r,8.002586364746094,6.78511486530304,1.3788529167282688,4.654942321777344,6.752770185470581,9.046078014373778,True
44,muT,253.98959350585938,249.40469454956056,14.866129379169916,224.94024734497071,249.6894302368164,274.0795272827148,True
45,nu,0.7147708535194397,0.47244393289089204,0.2812473368139745,0.02566692531108856,0.47010332345962524,0.9209538906812665,True
45,r,7.026383876800537,7.650321694374084,1.078871257502823,5.803309655189514,7.657036781311035,9.215156173706053,True
45,muT,146.87225341796875,136.58091804504394,12.310138004073965,114.91540679931641,137.10284423828125,156.4026672363281,True
46,nu,0.29414528608322144,0.5627351592183113,0.2544312648738099,0.15866597890853884,0.5570770502090454,1.0008898317813872,True
46,r,10.867526054382324,9.174638247489929,1.3631026042806365,6.951428532600403,9.183548927307129,11.295810985565177,True
46,muT,269.53533935546875,261.7969481201172,15.845099609750172,236.67083053588868,261.35255432128906,289.2206115722656,True
47,nu,0.19987565279006958,0.5231941227316856,0.2665985099394077,0.10368126630783084,0.5239570736885071,0.9671427279710766,True
47,r,9.637024879455566,9.48076267528534,1.1883770250079213,7.505832958221435,9.445642471313477,11.485857772827147,True
47,muT,148.0983123779297,136.0364656677246,13.276807583824885,114.41939773559571,135.57965850830078,158.4372604370117,True
48,nu,0.6806351542472839,0.4973180052042007,0.3018805912947374,0.008545674383640319,0.51069575548172,0.9791095674037932,True
48,r,5.088184356689453,5.654192175388336,0.907755593886722,4.2108275413513185,5.631399869918823,7.147220396995543,True
48,muT,182.01918029785156,166.83603411865235,11.495355312204481,148.73114242553712,166.63721466064453,185.62924346923828,True
49,nu,0.274435430765152,0.559238634109497,0.2362004559126508,0.1429619163274765,0.568319708108902,0.9332822144031524,True
49,r,11.956415176391602,9.496655290603638,1.3207963122874895,7.294843029975891,9.475734233856201,11.746662330627437,False
49,muT,253.45208740234375,258.07676132202147,16.756833949968804,231.55135040283204,258.32994079589844,285.1256118774414,True
50,nu,0.5209106802940369,0.47054974538087846,0.296776357558484,-0.007820230722427365,0.48560021817684174,0.9406719505786896,True
50,r,2.1204800605773926,2.6099340443611143,0.49296121243226493,1.8601742506027221,2.6095420122146606,3.439681732654571,True
50,muT,272.19525146484375,277.10966857910154,13.781270934359794,255.53749923706056,277.18849182128906,298.7896575927734,True
51,nu,0.8254411220550537,0.4486305788755417,0.3177976391341234,-0.04130193591117859,0.4341323524713516,0.9734796345233916,True
51,r,4.509033203125,4.812004291534424,0.8344931660065665,3.452257251739502,4.805320501327515,6.194613170623779,True
51,muT,238.03402709960938,239.37991244506836,12.548606427166948,219.9927734375,238.97008514404297,259.66393280029297,True
52,nu,0.6483109593391418,0.5474684009552002,0.2273283718599532,0.15484490394592287,0.542129248380661,0.9293681234121322,True
52,r,9.325786590576172,10.52674792289734,1.2523647763094208,8.463014888763428,10.518288612365723,12.565863847732544,True
52,muT,205.8218536376953,191.83156036376954,14.318241138611604,168.99109268188477,191.20822143554688,213.77001724243163,True
53,nu,0.9648362994194031,0.4885414332151413,0.2779323167501261,0.01941788196563722,0.49796484410762787,0.938199359178543,False
